cbsacode,metrodivisioncode,csacode,cbsatitle,metropolitanmicropolitanstatis,metropolitandivisiontitle,csatitle,countycountyequivalent,statename,fipsstatecode,fipscountycode,centraloutlyingcounty
37500,,308,"Paragould, AR",Micropolitan Statistical Area,,"Jonesboro-Paragould, AR",Greene County,Arkansas,5,55,Central
31680,,284,"Malvern, AR",Micropolitan Statistical Area,,"Hot Springs-Malvern, AR",Hot Spring County,Arkansas,5,59,Central
12900,,,"Batesville, AR",Micropolitan Statistical Area,,,Independence County,Arkansas,5,63,Central
38220,,340,"Pine Bluff, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Jefferson County,Arkansas,5,69,Central
38220,,340,"Pine Bluff, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Lincoln County,Arkansas,5,79,Outlying
45500,,,"Texarkana, TX-AR",Metropolitan Statistical Area,,,Little River County,Arkansas,5,81,Outlying
30780,,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Lonoke County,Arkansas,5,85,Central
22220,,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,,,Madison County,Arkansas,5,87,Outlying
45500,,,"Texarkana, TX-AR",Metropolitan Statistical Area,,,Miller County,Arkansas,5,91,Central
14180,,,"Blytheville, AR",Micropolitan Statistical Area,,,Mississippi County,Arkansas,5,93,Central
25460,,,"Harrison, AR",Micropolitan Statistical Area,,,Newton County,Arkansas,5,101,Outlying
15780,,,"Camden, AR",Micropolitan Statistical Area,,,Ouachita County,Arkansas,5,103,Central
30780,,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Perry County,Arkansas,5,105,Outlying
25760,,,"Helena-West Helena, AR",Micropolitan Statistical Area,,,Phillips County,Arkansas,5,107,Central
27860,,308,"Jonesboro, AR",Metropolitan Statistical Area,,"Jonesboro-Paragould, AR",Poinsett County,Arkansas,5,111,Outlying
40780,,,"Russellville, AR",Micropolitan Statistical Area,,,Pope County,Arkansas,5,115,Central
30780,,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Pulaski County,Arkansas,5,119,Central
22620,,368,"Forrest City, AR",Micropolitan Statistical Area,,"Memphis-Forrest City, TN-MS-AR",St. Francis County,Arkansas,5,123,Central
30780,,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,,"Little Rock-North Little Rock, AR",Saline County,Arkansas,5,125,Central
22900,,,"Fort Smith, AR-OK",Metropolitan Statistical Area,,,Sebastian County,Arkansas,5,131,Central
20980,,,"El Dorado, AR",Micropolitan Statistical Area,,,Union County,Arkansas,5,139,Central
22220,,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,,,Washington County,Arkansas,5,143,Central
42620,,340,"Searcy, AR",Micropolitan Statistical Area,,"Little Rock-North Little Rock, AR",White County,Arkansas,5,145,Central
40780,,,"Russellville, AR",Micropolitan Statistical Area,,,Yell County,Arkansas,5,149,Outlying
41860,36084,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"Oakland-Hayward-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Alameda County,California,6,1,Central
17020,,,"Chico, CA",Metropolitan Statistical Area,,,Butte County,California,6,7,Central
41860,36084,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"Oakland-Hayward-Berkeley, CA","San Jose-San Francisco-Oakland, CA",Contra Costa County,California,6,13,Outlying
18860,,,"Crescent City, CA",Micropolitan Statistical Area,,,Del Norte County,California,6,15,Central
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",El Dorado County,California,6,17,Central
23420,,260,"Fresno, CA",Metropolitan Statistical Area,,"Fresno-Madera, CA",Fresno County,California,6,19,Central
21700,,,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,,,Humboldt County,California,6,23,Central
20940,,,"El Centro, CA",Metropolitan Statistical Area,,,Imperial County,California,6,25,Central
12540,,,"Bakersfield, CA",Metropolitan Statistical Area,,,Kern County,California,6,29,Central
25260,,546,"Hanford-Corcoran, CA",Metropolitan Statistical Area,,"Visalia-Porterville-Hanford, CA",Kings County,California,6,31,Central
17340,,,"Clearlake, CA",Micropolitan Statistical Area,,,Lake County,California,6,33,Central
45000,,,"Susanville, CA",Micropolitan Statistical Area,,,Lassen County,California,6,35,Central
31080,31084,348,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,"Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach, CA",Los Angeles County,California,6,37,Central
31460,,260,"Madera, CA",Metropolitan Statistical Area,,"Fresno-Madera, CA",Madera County,California,6,39,Central
41860,42034,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Rafael, CA","San Jose-San Francisco-Oakland, CA",Marin County,California,6,41,Central
46380,,,"Ukiah, CA",Micropolitan Statistical Area,,,Mendocino County,California,6,45,Central
32900,,382,"Merced, CA",Metropolitan Statistical Area,,"Modesto-Merced, CA",Merced County,California,6,47,Central
41500,,,"Salinas, CA",Metropolitan Statistical Area,,,Monterey County,California,6,53,Central
34900,,488,"Napa, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Napa County,California,6,55,Central
46020,,472,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,,"Sacramento-Roseville, CA",Nevada County,California,6,57,Central
31080,11244,348,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,"Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach, CA",Orange County,California,6,59,Central
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Placer County,California,6,61,Central
40140,,348,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,,"Los Angeles-Long Beach, CA",Riverside County,California,6,65,Central
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Sacramento County,California,6,67,Central
41940,,488,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",San Benito County,California,6,69,Outlying
40140,,348,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,,"Los Angeles-Long Beach, CA",San Bernardino County,California,6,71,Central
41740,,,"San Diego-Carlsbad, CA",Metropolitan Statistical Area,,,San Diego County,California,6,73,Central
41860,41884,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Francisco-Redwood City-South San Francisco, CA","San Jose-San Francisco-Oakland, CA",San Francisco County,California,6,75,Central
44700,,488,"Stockton-Lodi, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",San Joaquin County,California,6,77,Central
42020,,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Metropolitan Statistical Area,,,San Luis Obispo County,California,6,79,Central
41860,41884,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Francisco-Redwood City-South San Francisco, CA","San Jose-San Francisco-Oakland, CA",San Mateo County,California,6,81,Central
42200,,,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area,,,Santa Barbara County,California,6,83,Central
41940,,488,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Santa Clara County,California,6,85,Central
42100,,488,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Santa Cruz County,California,6,87,Central
39820,,454,"Redding, CA",Metropolitan Statistical Area,,"Redding-Red Bluff, CA",Shasta County,California,6,89,Central
46700,,488,"Vallejo-Fairfield, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Solano County,California,6,95,Central
42220,,488,"Santa Rosa, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Sonoma County,California,6,97,Central
33700,,382,"Modesto, CA",Metropolitan Statistical Area,,"Modesto-Merced, CA",Stanislaus County,California,6,99,Central
49700,,472,"Yuba City, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Sutter County,California,6,101,Central
39780,,454,"Red Bluff, CA",Micropolitan Statistical Area,,"Redding-Red Bluff, CA",Tehama County,California,6,103,Central
47300,,546,"Visalia-Porterville, CA",Metropolitan Statistical Area,,"Visalia-Porterville-Hanford, CA",Tulare County,California,6,107,Central
43760,,,"Sonora, CA",Micropolitan Statistical Area,,,Tuolumne County,California,6,109,Central
37100,,348,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area,,"Los Angeles-Long Beach, CA",Ventura County,California,6,111,Central
40900,,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Yolo County,California,6,113,Outlying
49700,,472,"Yuba City, CA",Metropolitan Statistical Area,,"Sacramento-Roseville, CA",Yuba County,California,6,115,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Adams County,Colorado,8,1,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Arapahoe County,Colorado,8,5,Central
14500,,216,"Boulder, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Boulder County,Colorado,8,13,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Broomfield County,Colorado,8,14,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Clear Creek County,Colorado,8,19,Outlying
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Denver County,Colorado,8,31,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Douglas County,Colorado,8,35,Central
20780,,233,"Edwards, CO",Micropolitan Statistical Area,,"Edwards-Glenwood Springs, CO",Eagle County,Colorado,8,37,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Elbert County,Colorado,8,39,Outlying
17820,,,"Colorado Springs, CO",Metropolitan Statistical Area,,,El Paso County,Colorado,8,41,Central
15860,,444,"Cañon City, CO",Micropolitan Statistical Area,,"Pueblo-Cañon City, CO",Fremont County,Colorado,8,43,Central
24060,,233,"Glenwood Springs, CO",Micropolitan Statistical Area,,"Edwards-Glenwood Springs, CO",Garfield County,Colorado,8,45,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Gilpin County,Colorado,8,47,Outlying
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Jefferson County,Colorado,8,59,Central
20420,,,"Durango, CO",Micropolitan Statistical Area,,,La Plata County,Colorado,8,67,Central
22660,,,"Fort Collins, CO",Metropolitan Statistical Area,,,Larimer County,Colorado,8,69,Central
44540,,,"Sterling, CO",Micropolitan Statistical Area,,,Logan County,Colorado,8,75,Central
24300,,,"Grand Junction, CO",Metropolitan Statistical Area,,,Mesa County,Colorado,8,77,Central
18780,,525,"Craig, CO",Micropolitan Statistical Area,,"Steamboat Springs-Craig, CO",Moffat County,Colorado,8,81,Central
33940,,,"Montrose, CO",Micropolitan Statistical Area,,,Montrose County,Colorado,8,85,Central
22820,,,"Fort Morgan, CO",Micropolitan Statistical Area,,,Morgan County,Colorado,8,87,Central
19740,,216,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Park County,Colorado,8,93,Outlying
24060,,233,"Glenwood Springs, CO",Micropolitan Statistical Area,,"Edwards-Glenwood Springs, CO",Pitkin County,Colorado,8,97,Outlying
39380,,444,"Pueblo, CO",Metropolitan Statistical Area,,"Pueblo-Cañon City, CO",Pueblo County,Colorado,8,101,Central
44460,,525,"Steamboat Springs, CO",Micropolitan Statistical Area,,"Steamboat Springs-Craig, CO",Routt County,Colorado,8,107,Central
14720,,,"Breckenridge, CO",Micropolitan Statistical Area,,,Summit County,Colorado,8,117,Central
17820,,,"Colorado Springs, CO",Metropolitan Statistical Area,,,Teller County,Colorado,8,119,Outlying
24540,,216,"Greeley, CO",Metropolitan Statistical Area,,"Denver-Aurora, CO",Weld County,Colorado,8,123,Central
14860,,408,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA",Fairfield County,Connecticut,9,1,Central
25540,,278,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,,"Hartford-West Hartford, CT",Hartford County,Connecticut,9,3,Central
45860,,408,"Torrington, CT",Micropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA",Litchfield County,Connecticut,9,5,Central
25540,,278,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,,"Hartford-West Hartford, CT",Middlesex County,Connecticut,9,7,Central
35300,,408,"New Haven-Milford, CT",Metropolitan Statistical Area,,"New York-Newark, NY-NJ-CT-PA",New Haven County,Connecticut,9,9,Central
35980,,278,"Norwich-New London, CT",Metropolitan Statistical Area,,"Hartford-West Hartford, CT",New London County,Connecticut,9,11,Central
25540,,278,"Hartford-West Hartford-East Hartford, CT",Metropolitan Statistical Area,,"Hartford-West Hartford, CT",Tolland County,Connecticut,9,13,Central
49340,,148,"Worcester, MA-CT",Metropolitan Statistical Area,,"Boston-Worcester-Providence, MA-RI-NH-CT",Windham County,Connecticut,9,15,Central
20100,,428,"Dover, DE",Metropolitan Statistical Area,,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Kent County,Delaware,10,1,Central
37980,48864,428,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,"Wilmington, DE-MD-NJ","Philadelphia-Reading-Camden, PA-NJ-DE-MD",New Castle County,Delaware,10,3,Central
41540,,,"Salisbury, MD-DE",Metropolitan Statistical Area,,,Sussex County,Delaware,10,5,Central
47900,47894,548,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",District of Columbia,District of Columbia,11,1,Central
23540,,264,"Gainesville, FL",Metropolitan Statistical Area,,"Gainesville-Lake City, FL",Alachua County,Florida,12,1,Central
27260,,300,"Jacksonville, FL",Metropolitan Statistical Area,,"Jacksonville-St. Marys-Palatka, FL-GA",Baker County,Florida,12,3,Outlying
37460,,,"Panama City, FL",Metropolitan Statistical Area,,,Bay County,Florida,12,5,Central
37340,,,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area,,,Brevard County,Florida,12,9,Central
33100,22744,370,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL","Miami-Fort Lauderdale-Port St. Lucie, FL",Broward County,Florida,12,11,Central
39460,,412,"Punta Gorda, FL",Metropolitan Statistical Area,,"North Port-Sarasota, FL",Charlotte County,Florida,12,15,Central
26140,,,"Homosassa Springs, FL",Metropolitan Statistical Area,,,Citrus County,Florida,12,17,Central
27260,,300,"Jacksonville, FL",Metropolitan Statistical Area,,"Jacksonville-St. Marys-Palatka, FL-GA",Clay County,Florida,12,19,Central
34940,,162,"Naples-Immokalee-Marco Island, FL",Metropolitan Statistical Area,,"Cape Coral-Fort Myers-Naples, FL",Collier County,Florida,12,21,Central
29380,,264,"Lake City, FL",Micropolitan Statistical Area,,"Gainesville-Lake City, FL",Columbia County,Florida,12,23,Central
11580,,412,"Arcadia, FL",Micropolitan Statistical Area,,"North Port-Sarasota, FL",DeSoto County,Florida,12,27,Central
27260,,300,"Jacksonville, FL",Metropolitan Statistical Area,,"Jacksonville-St. Marys-Palatka, FL-GA",Duval County,Florida,12,31,Central
37860,,,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area,,,Escambia County,Florida,12,33,Central
19660,,422,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,,"Orlando-Deltona-Daytona Beach, FL",Flagler County,Florida,12,35,Central
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Gadsden County,Florida,12,39,Outlying
23540,,264,"Gainesville, FL",Metropolitan Statistical Area,,"Gainesville-Lake City, FL",Gilchrist County,Florida,12,41,Outlying
37460,,,"Panama City, FL",Metropolitan Statistical Area,,,Gulf County,Florida,12,45,Outlying
48100,,,"Wauchula, FL",Micropolitan Statistical Area,,,Hardee County,Florida,12,49,Central
17500,,,"Clewiston, FL",Micropolitan Statistical Area,,,Hendry County,Florida,12,51,Central
45300,,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,,,Hernando County,Florida,12,53,Outlying
42700,,,"Sebring, FL",Metropolitan Statistical Area,,,Highlands County,Florida,12,55,Central
45300,,,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area,,,Hillsborough County,Florida,12,57,Central
42680,,370,"Sebastian-Vero Beach, FL",Metropolitan Statistical Area,,"Miami-Fort Lauderdale-Port St. Lucie, FL",Indian River County,Florida,12,61,Central
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Jefferson County,Florida,12,65,Outlying
36740,,422,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area,,"Orlando-Deltona-Daytona Beach, FL",Lake County,Florida,12,69,Outlying
15980,,162,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,,"Cape Coral-Fort Myers-Naples, FL",Lee County,Florida,12,71,Central
45220,,533,"Tallahassee, FL",Metropolitan Statistical Area,,"Tallahassee-Bainbridge, FL-GA",Leon County,Florida,12,73,Central
35840,,412,"North Port-Sarasota-Bradenton, FL",Metropolitan Statistical Area,,"North Port-Sarasota, FL",Manatee County,Florida,12,81,Central
36100,,,"Ocala, FL",Metropolitan Statistical Area,,,Marion County,Florida,12,83,Central
38940,,370,"Port St. Lucie, FL",Metropolitan Statistical Area,,"Miami-Fort Lauderdale-Port St. Lucie, FL",Martin County,Florida,12,85,Central
33100,33124,370,"Miami-Fort Lauderdale-West Palm Beach, FL",Metropolitan Statistical Area,"Miami-Miami Beach-Kendall, FL","Miami-Fort Lauderdale-Port St. Lucie, FL",Miami-Dade County,Florida,12,86,Central
28580,,,"Key West, FL",Micropolitan Statistical Area,,,Monroe County,Florida,12,87,Central
27260,,300,"Jacksonville, FL",Metropolitan Statistical Area,,"Jacksonville-St. Marys-Palatka, FL-GA",Nassau County,Florida,12,89,Outlying
18880,,,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,,,Okaloosa County,Florida,12,91,Central
36380,,370,"Okeechobee, FL",Micropolitan Statistical Area,,"Miami-Fort Lauderdale-Port St. Lucie, FL",Okeechobee County,Florida,12,93,Central
